name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
camel,1.6,org.apache.camel.component.cxf.CxfComponent,5,3,0,7,10,0,1,7,4,0.25,43,1,1,0.921052632,0.36,1,2,7.4,1,0.6,0
camel,1.6,org.apache.camel.impl.DefaultExchangeFormatter,4,1,0,3,5,4,1,2,3,0.666666667,17,1,1,0,0.5,0,0,3,1,0.5,0
camel,1.6,org.apache.camel.component.jetty.JettyHttpComponent,20,4,0,26,95,144,2,26,13,0.842105263,433,1,0,0.727272727,0.197368421,4,5,20.3,3,1,0
camel,1.6,org.apache.camel.language.simple.SimpleLanguage,3,2,0,8,22,3,2,6,2,2,165,0,0,0.75,0.666666667,1,3,54,15,5.3333,1
camel,1.6,org.apache.camel.util.ServiceHelper,8,1,0,25,20,22,22,3,6,0.571428571,176,1,0,0,0.25,0,0,20.875,1,0.75,1
camel,1.6,org.apache.camel.component.file.FileProcessStrategy,3,1,0,6,3,3,5,2,3,2,3,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.component.restlet.RestletConstants,1,1,0,0,2,0,0,0,0,2,9,0,0,0,1,0,0,3,0,0,0
camel,1.6,org.apache.camel.impl.DefaultLifecycleStrategy,6,1,0,9,17,15,2,7,6,2,46,0,0,0,0.333333333,0,0,6.666666667,4,1.3333,2
camel,1.6,org.apache.camel.RecipientList,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
camel,1.6,org.apache.camel.language.groovy.CamelGroovyMethods,4,1,0,7,8,6,0,7,3,2,22,0,0,0,0.375,0,0,4.5,1,0.75,0
camel,1.6,org.apache.camel.language.simple.FileExpressionBuilder,10,1,0,11,20,45,1,10,9,2,52,0,0,0,0.15,0,0,4.2,1,0.9,3
camel,1.6,org.apache.camel.component.file.remote.RemoteFileComponent,10,3,0,10,33,25,3,10,7,0.222222222,165,1,1,0.833333333,0.3,2,3,15.4,3,0.9,0
camel,1.6,org.apache.camel.component.jmx.JMXEndpoint,23,2,0,13,49,201,2,13,21,0.918181818,266,1,0,0.545454545,0.176767677,1,1,10.13043478,1,0.8696,0
camel,1.6,org.apache.camel.component.file.remote.SftpEndpoint,8,4,0,18,33,22,4,18,7,0.142857143,141,1,0,0.872340426,0.3125,0,0,16.5,1,0.75,0
camel,1.6,org.apache.camel.model.loadbalancer.StickyLoadBalanceStrategy,9,3,0,3,15,6,0,3,8,0.4375,82,1,2,0.666666667,0.416666667,1,2,7.888888889,3,0.8889,1
camel,1.6,org.apache.camel.component.bean.DefaultAnnotationExpressionFactory,3,1,2,8,16,3,2,6,2,2,96,0,0,0,0.533333333,0,0,31,3,1.6667,0
camel,1.6,org.apache.camel.processor.loadbalancer.StickyLoadBalancer,10,4,0,6,27,5,1,5,8,0.527777778,168,1,2,0.75862069,0.25,2,2,15.4,3,1.1,1
camel,1.6,org.apache.camel.view.XmlGraphGenerator,8,2,0,7,33,26,0,7,1,0.571428571,415,1,0,0.588235294,0.390625,1,1,50.75,8,3.625,0
camel,1.6,org.apache.camel.impl.converter.AsyncProcessorTypeConverter,4,1,0,17,8,6,11,6,4,2,53,0,0,0,0.45,0,0,12.25,5,2,0
camel,1.6,org.apache.camel.component.irc.IrcBinding,2,1,0,3,5,1,3,2,2,2,17,0,0,0,0.666666667,0,0,7.5,2,1,0
camel,1.6,org.apache.camel.bam.processor.ProcessContext,14,1,0,6,18,61,2,5,14,0.830769231,81,1,5,0,0.297619048,0,0,4.428571429,1,0.9286,0
camel,1.6,org.apache.camel.processor.resequencer.ResequencerEngine,16,1,0,8,36,62,2,6,11,0.72,184,1,3,0,0.229166667,0,0,10.1875,4,1.3125,0
camel,1.6,org.apache.camel.RuntimeCamelException,4,4,17,66,8,6,66,0,4,1.333333333,21,1,0,1,0.666666667,0,0,4,0,0,0
camel,1.6,org.apache.camel.processor.resequencer.Element,6,1,0,4,10,1,2,2,6,0.6,50,1,1,0,0.5,0,0,7,2,1.1667,0
camel,1.6,org.apache.camel.impl.converter.ArrayTypeConverter,3,1,0,3,20,3,1,2,3,2,127,0,0,0,0.666666667,0,0,41.33333333,13,4.6667,0
camel,1.6,org.apache.camel.component.direct.DirectEndpoint,11,2,0,11,17,25,3,11,8,0.766666667,73,1,0,0.75,0.25,0,0,5.363636364,1,0.7273,2
camel,1.6,org.apache.camel.component.xquery.XQuery,2,1,0,2,2,1,1,1,2,2,2,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.model.dataformat.JsonDataFormat,3,3,0,2,4,1,1,1,3,0.5,15,1,0,0.818181818,0.666666667,0,0,3.666666667,1,0.6667,1
camel,1.6,org.apache.camel.builder.NoErrorHandlerBuilder,3,2,0,6,4,3,2,4,3,2,10,0,0,0.666666667,0.555555556,0,0,2.333333333,1,0.6667,1
camel,1.6,org.apache.camel.component.mina.MinaPayloadHelper,5,1,0,6,15,10,3,4,4,2,60,0,0,0,0.45,0,0,11,2,1.6,0
camel,1.6,org.apache.camel.ProducerTemplate,33,1,0,17,33,528,11,6,33,2,33,0,0,0,0.387205387,0,0,0,1,1,2
camel,1.6,org.apache.camel.scala.dsl.languages.El,3,1,0,5,3,3,2,4,3,2,3,0,0,0,0.777777778,0,0,0,1,1,0
camel,1.6,org.apache.camel.component.cxf.CxfSoapConsumer,7,1,0,32,61,0,3,32,3,0.633333333,204,1,2,0,0.416666667,0,0,27.42857143,1,0.7143,0
camel,1.6,org.apache.camel.processor.TryProcessor,8,2,0,13,33,0,1,12,3,0.464285714,294,1,2,0.7,0.371428571,1,1,35.25,2,0.875,8
camel,1.6,org.apache.camel.converter.xmlbeans.XmlBeansDataFormat,3,1,0,5,7,3,0,5,3,2,19,0,0,0,0.533333333,0,0,5.333333333,1,0.6667,0
camel,1.6,org.apache.camel.component.file.FileProducer,11,3,0,14,63,7,1,14,5,0.35,416,1,1,0.7,0.25,0,0,36.63636364,11,1.8182,0
camel,1.6,org.apache.camel.processor.loadbalancer.RandomLoadBalancer,2,4,0,5,7,1,2,3,1,2,24,0,0,0.956521739,0.666666667,1,1,11,1,0.5,1
camel,1.6,org.apache.camel.component.jhc.AsyncHttpRequestHandler,1,1,0,9,1,0,4,5,1,2,1,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.component.bean.DefaultParameterMappingStrategy,4,1,0,4,10,0,1,3,4,0,39,1,0,0,0.583333333,0,0,8.5,1,0.75,2
camel,1.6,org.apache.camel.model.ExpressionNode,12,3,13,22,24,30,15,8,10,0.5,114,1,1,0.956521739,0.226190476,1,3,8.333333333,2,0.8333,0
camel,1.6,org.apache.camel.model.ChoiceType,14,3,0,21,43,59,9,13,13,0.641025641,208,1,1,0.936170213,0.261538462,1,3,13.64285714,3,1.1429,0
camel,1.6,org.apache.camel.CamelExchangeException,4,4,8,13,10,0,11,2,3,0.833333333,39,1,1,0.894736842,0.625,0,0,8.25,1,0.5,1
camel,1.6,org.apache.camel.component.xquery.XQueryComponent,3,4,0,8,15,3,0,8,1,2,49,0,0,0.95,0.666666667,2,2,15.33333333,1,0.6667,0
camel,1.6,org.apache.camel.processor.idempotent.MessageIdRepository,1,1,0,7,1,0,7,0,1,2,1,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.spring.handler.LazyLoadingBeanDefinitionParser,2,1,1,3,10,0,1,2,1,0,44,1,0,0.857142857,0.75,1,1,20,2,1,0
camel,1.6,org.apache.camel.component.cxf.invoker.CxfClient,6,0,0,21,54,9,2,19,3,0.4,309,1,0,0,0.457142857,0,0,50.33333333,4,1.6667,0
camel,1.6,org.apache.camel.component.cxf.transport.spring.CamelConduitDefinitionParser,1,1,0,2,3,0,1,1,1,2,7,0,0,1,1,0,0,6,0,0,0
camel,1.6,org.apache.camel.scala.dsl.SRouteType,7,2,0,8,8,15,2,8,7,0.722222222,45,1,3,0.846153846,0.357142857,1,20,5,1,0.8571,0
camel,1.6,org.apache.camel.processor.ConvertBodyProcessor,3,1,0,9,18,0,2,7,2,0.5,61,1,0,0,0.666666667,0,0,18.66666667,1,0.3333,0
camel,1.6,org.apache.camel.component.bean.RegistryBean,15,1,1,15,29,45,4,11,12,0.714285714,171,1,5,0,0.35,0,0,9.933333333,3,1.2,0
camel,1.6,org.apache.camel.language.Constant,1,1,0,0,1,0,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0
camel,1.6,org.apache.camel.component.mail.MailProducer,5,3,0,9,9,4,2,9,2,0.75,36,1,1,0.875,0.3,0,0,5.6,1,0.6,0
camel,1.6,org.apache.camel.component.cxf.util.NullDestinationFactory,4,1,0,7,17,6,1,6,4,2,39,0,0,0,0.625,0,0,8.75,1,0.75,0
camel,1.6,org.apache.camel.component.cxf.CxfSoapComponent,5,3,0,10,18,8,0,10,3,0.25,62,1,1,0.897435897,0.4,1,3,11.2,1,0.8,0
camel,1.6,org.apache.camel.dataformat.hl7.HL7Converter,3,1,0,6,8,3,2,4,2,2,31,0,0,0,0.333333333,0,0,9.333333333,1,0.6667,0
camel,1.6,org.apache.camel.model.TryType,14,4,0,11,37,73,3,9,13,0.634615385,236,1,1,0.932291667,0.257142857,1,16,15.57142857,6,1.5,0
camel,1.6,org.apache.camel.builder.RouteBuilder,27,2,6,26,61,105,12,14,22,0.666666667,265,1,1,0.537037037,0.113756614,1,3,8.703703704,4,1.0741,8
camel,1.6,org.apache.camel.model.language.NamespaceAwareExpression,7,2,2,7,10,15,2,5,4,0.333333333,44,1,0,0.814814815,0.285714286,0,0,5.142857143,3,1,0
camel,1.6,org.apache.camel.component.jpa.JpaProducer,3,3,0,8,9,0,2,8,2,0.5,44,1,3,0.913043478,0.4,0,0,12.66666667,2,1,0
camel,1.6,org.apache.camel.component.stream.StreamMessage,4,3,0,1,6,0,0,1,3,0,21,1,0,0.921052632,0.625,2,2,4,1,0.75,0
camel,1.6,org.apache.camel.component.mail.MailConfiguration,50,1,0,8,84,1011,5,4,48,0.947648625,726,0.869565217,0,0,0.1825,0,0,13.06,9,1.5,0
camel,1.6,org.apache.camel.spi.InterceptStrategy,1,1,0,14,1,0,13,2,1,2,1,0,0,0,1,0,0,0,1,1,2
camel,1.6,org.apache.camel.util.ExpressionListComparator,3,1,0,4,9,1,1,3,3,0,47,1,0,0,0.5,0,0,14.33333333,2,1,0
