MarriageDuration,MarriageDurationRec,Residence,ResidenceRec,EducationLevel,EducationLevelRec,MeanCEB,VarCEB,CountWomen
1,0to4,1,Suva,4,SecondaryPlus,0.73,0.48,51
1,0to4,2,Urban,4,SecondaryPlus,2,1.82,12
1,0to4,3,Rural,4,SecondaryPlus,2,0,1
1,0to4,1,Suva,3,UpperPrimary,0.9,0.67,42
1,0to4,2,Urban,3,UpperPrimary,2.9,1.57,20
1,0to4,3,Rural,3,UpperPrimary,3.92,4.08,12
1,0to4,1,Suva,2,LowerPrimary,1.14,0.73,21
1,0to4,2,Urban,2,LowerPrimary,3.67,2.31,27
1,0to4,3,Rural,2,LowerPrimary,5.06,4.64,18
1,0to4,1,Suva,1,none,0.5,1.14,8
1,0to4,2,Urban,1,none,4.08,1.72,12
1,0to4,3,Rural,1,none,5.62,4.15,21
3,10to14,1,Suva,4,SecondaryPlus,0.74,0.59,47
3,10to14,2,Urban,4,SecondaryPlus,3.33,2.5,9
3,10to14,3,Rural,4,SecondaryPlus,5.33,0.33,3
3,10to14,1,Suva,3,UpperPrimary,0.97,0.8,107
3,10to14,2,Urban,3,UpperPrimary,3.94,3.28,50
3,10to14,3,Rural,3,UpperPrimary,5.74,5.2,23
3,10to14,1,Suva,2,LowerPrimary,0.96,0.81,102
3,10to14,2,Urban,2,LowerPrimary,4.14,3.31,132
3,10to14,3,Rural,2,LowerPrimary,6.34,5.72,68
3,10to14,1,Suva,1,none,0.97,0.88,62
3,10to14,2,Urban,1,none,4.14,3.52,88
3,10to14,3,Rural,1,none,6.46,8.2,117
4,15to19,1,Suva,4,SecondaryPlus,1.73,0.68,22
4,15to19,2,Urban,4,SecondaryPlus,2.75,0.92,4
4,15to19,3,Rural,4,SecondaryPlus,2.5,0.5,2
4,15to19,1,Suva,3,UpperPrimary,2.04,1.87,24
4,15to19,2,Urban,3,UpperPrimary,3.15,0.81,13
4,15to19,3,Rural,3,UpperPrimary,5.38,4.27,8
4,15to19,1,Suva,2,LowerPrimary,2.67,0.99,30
4,15to19,2,Urban,2,LowerPrimary,4.94,1.46,31
4,15to19,3,Rural,2,LowerPrimary,6.74,11.66,27
4,15to19,1,Suva,1,none,3.1,1.66,10
4,15to19,2,Urban,1,none,4.21,2.03,14
4,15to19,3,Rural,1,none,6.6,12.4,47
5,20to24,1,Suva,4,SecondaryPlus,2.29,0.81,21
5,20to24,2,Urban,4,SecondaryPlus,3.8,0.7,5
5,20to24,3,Rural,4,SecondaryPlus,2,0,1
5,20to24,1,Suva,3,UpperPrimary,2.68,0.97,44
5,20to24,2,Urban,3,UpperPrimary,4.6,3.83,20
5,20to24,3,Rural,3,UpperPrimary,7.54,12.6,13
5,20to24,1,Suva,2,LowerPrimary,2.65,1.51,37
5,20to24,2,Urban,2,LowerPrimary,5.36,2.97,42
5,20to24,3,Rural,2,LowerPrimary,7.51,10.53,45
5,20to24,1,Suva,1,none,4.54,3.44,13
5,20to24,2,Urban,1,none,4.7,7.4,23
5,20to24,3,Rural,1,none,6.52,11.45,46
6,25to29,1,Suva,4,SecondaryPlus,2.24,1.19,21
6,25to29,1,Suva,3,UpperPrimary,2.47,1.3,81
6,25to29,2,Urban,3,UpperPrimary,4.5,3.29,30
6,25to29,3,Rural,3,UpperPrimary,5.8,7.07,10
6,25to29,1,Suva,2,LowerPrimary,2.71,1.36,117
6,25to29,2,Urban,2,LowerPrimary,5.59,3.23,86
6,25to29,3,Rural,2,LowerPrimary,7.81,7.57,59
6,25to29,1,Suva,1,none,2.44,1.93,70
6,25to29,2,Urban,1,none,5.06,4.91,114
6,25to29,3,Rural,1,none,7.48,11.34,195
2,5to9,1,Suva,4,SecondaryPlus,0.69,0.54,51
2,5to9,2,Urban,4,SecondaryPlus,3.33,1.52,15
2,5to9,3,Rural,4,SecondaryPlus,2.6,4.3,5
2,5to9,1,Suva,3,UpperPrimary,1.05,0.73,39
2,5to9,2,Urban,3,UpperPrimary,3.62,1.96,29
2,5to9,3,Rural,3,UpperPrimary,5,4.33,13
2,5to9,1,Suva,2,LowerPrimary,0.85,1.59,27
2,5to9,2,Urban,2,LowerPrimary,3.33,2.99,43
2,5to9,3,Rural,2,LowerPrimary,5.88,4.44,25
2,5to9,1,Suva,1,none,1.17,1.06,12
2,5to9,2,Urban,1,none,4.17,2.97,18
2,5to9,3,Rural,1,none,5.36,7.19,22
