x,y,color
0.120700,1.660341,B
0.743802,1.395342,B
0.505669,0.525149,W
0.237205,0.420815,W
0.014016,0.212735,W
0.687143,0.022845,W
0.949635,1.738826,B
0.400301,1.634209,B
0.441824,0.118470,W
0.691382,0.223530,W
0.751090,0.998667,W
0.734754,0.984678,W
0.334677,1.959476,B
0.458063,1.817874,B
0.363311,1.397115,B
0.086427,1.052967,B
0.245036,0.890512,W
0.604820,1.930987,B
0.131298,0.445362,W
0.573356,1.053730,B
0.480841,0.877861,W
0.424481,0.119805,W
0.913380,0.916028,W
0.499209,1.008787,B
0.621483,1.939350,B
0.326753,1.536712,B
0.318744,0.123354,W
0.996617,1.401028,B
0.574788,0.886934,W
0.042278,0.382513,W
0.263476,0.752300,W
0.781954,0.089316,W
0.594029,1.261014,B
0.803482,0.696479,W
0.653369,0.082511,W
0.490388,0.983955,W
0.846036,0.375391,W
0.430234,1.266845,B
0.302549,0.686565,W
0.871230,1.027122,B
0.164455,1.486850,B
0.825110,1.424221,B
0.170826,0.083879,W
0.770126,0.268737,W
0.256050,1.695463,B
0.229116,0.345841,W
0.449357,1.967426,B
0.471363,0.332431,W
0.219228,1.877589,B
0.106980,0.610164,W
0.274107,0.350366,W
0.398621,1.866085,B
0.477930,0.948692,W
0.753276,0.206510,W
0.168365,0.374307,W
0.227919,0.683749,W
0.045916,0.145617,W
0.343789,0.385369,W
0.461008,0.694422,W
0.465866,1.231416,B
0.020410,1.563598,B
0.728343,1.662659,B
0.046424,0.075698,W
0.070115,0.275021,W
0.886759,1.484220,B
0.695598,0.772643,W
0.579979,0.969361,W
0.767756,0.069784,W
0.835363,1.796333,B
0.866274,1.647862,B
0.792014,1.196575,B
0.649107,0.571068,W
0.394643,0.908497,W
0.472751,1.384107,B
0.439593,1.342144,B
0.220011,1.741651,B
0.333245,1.743179,B
0.311606,0.427983,W
0.014511,0.733951,W
0.028864,1.771539,B
0.352063,0.878971,W
0.429737,1.476294,B
0.740421,1.774062,B
0.680565,0.096828,W
0.674563,0.543534,W
0.016635,1.245681,B
0.176256,0.495093,W
0.508728,0.885660,W
0.232041,1.734920,B
0.187068,1.864735,B
0.715512,1.607091,B
0.663174,1.396688,B
0.298812,1.984109,B
0.302147,1.669999,B
0.650566,0.539363,W
0.995589,1.434515,B
0.523119,0.529740,W
0.521134,1.136707,B
0.623606,1.910660,B
0.280640,1.780462,B
0.608899,0.286193,W
0.528675,0.248221,W
0.076896,0.225791,W
0.621966,0.064701,W
0.709008,0.806825,W
0.869307,0.493071,W
0.214464,1.125260,B
0.416093,1.693232,B
0.903233,1.839905,B
0.206140,1.104874,B
0.489192,1.222890,B
0.164581,0.470200,W
0.419303,1.735341,B
0.318200,0.666515,W
0.021368,0.429110,W
0.825499,0.595927,W
0.151605,0.717247,W
0.917341,0.067140,W
0.952330,0.365555,W
0.705824,0.834642,W
