@relation train

@attribute x numeric
@attribute y numeric
@attribute color {W,B}

@data
1.111133,1.578069,W
1.981155,0.865205,B
1.329217,1.360172,W
1.855796,1.696614,W
0.386357,1.963875,B
1.232361,1.582978,W
1.017861,1.813974,W
1.686589,1.341382,W
0.510012,0.811558,W
0.700096,0.989937,W
0.024312,1.944871,B
0.790331,1.068205,B
0.167236,0.256025,W
1.79439,0.974152,B
0.273743,1.324658,B
0.660782,0.905609,W
1.515022,1.158658,W
0.93273,1.444255,B
1.381051,0.892561,B
0.676742,1.216686,B
1.486716,0.96035,B
0.523269,1.315617,B
0.043823,1.375068,B
0.18873,1.971586,B
0.658383,1.709166,B
1.730828,0.059542,B
0.871518,0.245962,W
0.63053,1.41588,B
1.294124,0.948598,B
0.359006,0.685322,W
0.096585,0.437832,W
0.137646,0.920947,W
0.604059,1.131236,B
1.53525,0.832292,B
0.53342,1.271695,B
0.161171,0.020914,W
1.869428,0.288419,B
0.570248,0.359446,W
0.200485,0.227948,W
1.032015,0.418892,B
0.292763,1.08149,B
1.879834,1.754664,W
0.046615,0.279119,W
0.455787,0.001806,W
0.723042,0.932595,W
0.066773,1.677594,B
0.49751,1.354729,B
1.858926,0.419695,B
1.239801,1.608163,W
0.257427,1.408044,B
0.377693,0.441618,W
1.331745,1.758027,W
1.290096,0.496984,B
1.002013,0.734186,B
1.933587,1.544131,W
1.991998,0.237305,B
0.58742,0.849313,W
0.798326,1.558633,B
1.850199,0.954963,B
1.152449,1.840786,W
0.680758,0.361378,W
0.667477,1.442204,B
1.484087,1.722386,W
1.323625,0.341888,B
0.460085,1.16532,B
1.193054,1.90068,W
1.592345,0.699589,B
0.961763,1.123088,B
0.085822,1.159592,B
0.055373,1.538857,B
1.38521,0.255246,B
1.021207,0.470643,B
0.609858,1.154489,B
0.505598,0.709113,W
1.059378,0.102458,B
0.953599,0.349489,W
0.824582,0.861194,W
1.312865,0.76661,B
0.592995,0.715694,W
1.002968,1.985847,W
0.226902,0.586031,W
1.738164,0.043339,B
1.848424,1.178774,W
0.617458,1.834593,B
0.325839,0.291051,W
1.479106,0.062641,B
1.464146,0.027541,B
0.598288,1.799054,B
1.522749,0.689345,B
1.545147,0.054027,B
1.232822,1.025896,W
0.228499,1.150171,B
1.261332,0.091639,B
1.153689,1.428462,W
1.476844,0.868597,B
1.779088,0.792377,B
0.571238,1.381454,B
1.756352,0.448582,B
1.70878,0.182278,B
1.550402,1.794566,W
1.59083,0.085975,B
1.329062,1.713657,W
1.066951,0.969245,B
0.135438,1.815715,B
1.714565,0.699483,B
0.661765,0.92279,W
1.081293,1.756208,W
0.44719,0.296649,W
0.029294,0.873673,W
1.238748,0.554164,B
1.572224,0.947702,B
0.997205,1.898421,B
1.279791,1.395628,W
1.815997,0.313251,B
1.204579,0.540729,B
0.731217,1.429334,B
1.912466,0.944547,B
0.872639,0.317657,W
0.805304,1.025196,B
1.560828,0.555533,B
0.893924,0.411986,W
0.541099,1.606909,B
1.278984,1.30934,W
0.057176,0.199748,W
0.152187,0.913768,W
1.519113,1.77766,W
1.249399,0.08019,B
1.099965,0.520545,B
0.703372,1.348128,B
0.354832,0.579642,W
0.69631,1.034992,B
1.143485,1.460527,W
0.611565,1.774169,B
1.071168,1.028651,W
1.350378,1.735768,W
1.964644,0.054113,B
0.447998,0.2217,W
0.640663,1.460097,B
0.717968,1.245757,B
0.904985,1.674593,B
0.812936,0.697336,W
0.452391,0.712964,W
1.792817,1.291493,W
0.450518,0.39383,W
0.222259,0.838751,W
0.674711,0.996366,W
0.211333,0.493665,W
1.474377,1.556908,W
1.423143,1.551511,W
1.993947,1.528354,W
0.636078,1.013203,B
1.096292,0.565285,B
0.697281,1.858688,B
1.505137,0.729213,B
1.470103,1.885269,W
1.254424,1.657198,W
0.333155,0.994176,W
1.759573,1.448961,W
1.460178,0.197528,B
0.833897,0.325322,W
1.240663,0.385415,B
0.545603,0.563822,W
1.411281,0.853234,B
0.374837,0.069156,W
1.863152,0.98154,B
1.905474,0.906692,B
1.239189,0.376335,B
1.323176,0.851406,B
0.788745,0.809527,W
1.076901,0.94626,B
0.313453,1.367244,B
1.411488,0.221475,B
0.797595,0.831075,W
0.326232,1.0102,B
1.140238,0.685192,B
1.672937,1.552133,W
1.160921,1.088448,W
1.120424,1.058208,W
1.685877,1.36155,W
1.776764,1.7338,W
0.972922,0.201021,W
0.102963,1.933336,B
0.40795,1.530201,B
1.069245,1.949646,W
0.365246,1.17288,B
1.453118,1.293477,W
1.530488,0.765641,B
1.243615,0.11686,B
0.992758,1.503571,B
1.923581,1.087955,W
1.988394,0.50603,B
1.795481,0.916935,B
1.252895,1.49741,W
1.706241,1.391141,W
1.518746,1.014484,W
1.274803,0.074914,B
0.932904,0.009522,W
1.610732,0.921551,B
0.980901,1.322452,B
0.104027,0.896084,W
0.711295,1.58515,B
1.362056,1.739216,W
0.225604,1.857238,B
1.964897,0.754264,B
1.667632,1.227285,W
1.261789,0.487298,B
0.750211,1.177108,B
1.702046,0.394053,B
0.393822,0.328969,W
0.539137,1.482433,B
1.413269,1.099643,W
1.110545,1.887171,W
1.439798,1.596989,W
0.695995,1.764712,B
1.969555,1.946275,W
0.116479,1.194612,B
1.131267,0.470692,B
0.052631,1.07025,B
0.406563,1.732117,B
0.151503,0.72095,W
0.835458,1.261907,B
1.159752,1.773421,W
1.913385,0.650474,B
1.103478,0.546597,B
0.634779,0.002255,W
1.325785,0.312966,B
0.779693,1.575109,B
0.34865,0.88262,W
0.238962,0.386433,W
0.458358,0.68982,W
1.544559,1.929297,W
0.547579,0.094713,W
1.150955,0.871628,B
0.259544,0.602908,W
0.852063,0.503766,W
0.05162,1.72822,B
1.876693,1.917357,W
0.332762,1.50594,B
0.692135,1.880722,B
0.210726,0.53912,W
0.489852,0.23337,W
1.109562,0.273345,B
0.947092,0.567318,W
1.899358,0.82501,B
0.953324,1.264036,B
0.451186,1.804618,B
1.508566,0.341471,B
0.246816,0.344733,W
0.440064,0.988999,W
0.713245,0.400364,W
1.686854,0.917706,B
0.349075,1.372749,B
0.367513,0.359042,W
1.911157,0.826183,B
1.314119,0.122474,B
0.797104,0.181022,W
1.916884,0.815606,B
1.316698,1.739368,W
1.810939,1.942737,W
1.270425,1.944066,W
0.350054,0.603116,W
0.705495,1.433331,B
0.64008,1.567742,B
1.079573,0.866011,B
1.758902,1.056137,W
0.159105,0.72848,W
1.746462,0.425051,B
0.063273,1.347804,B
1.536844,1.438128,W
0.141223,0.469284,W
0.231219,0.571635,W
0.972486,0.098476,W
1.306674,0.868302,B
0.660457,0.865833,W
0.642886,0.211086,W
0.640445,0.604907,W
0.957027,0.626868,W
1.935236,1.977601,W
1.634902,0.679889,B
0.435294,0.93936,W
0.855756,0.146429,W
0.544819,1.088823,B
1.838634,0.294252,B
1.245444,0.908491,B
1.213437,1.091914,W
0.726241,1.39578,B
1.923136,0.186971,B
0.86532,0.176077,W
0.816273,0.210906,W
0.45738,0.234125,W
0.58803,1.246813,B
1.304097,0.419422,B
1.221002,1.585506,W
0.951703,0.443025,W
0.940891,0.452402,W
1.448002,1.11064,W
0.602322,1.67287,B
1.458648,0.629522,B
1.030999,1.265989,W
0.696227,0.658294,W
1.00499,1.291838,W
1.485691,0.694856,B
1.708055,1.245694,W
0.258794,1.288781,B
1.684066,1.343706,W
0.493325,0.339022,W
0.542778,1.116331,B
0.95417,0.22644,W
