age,agelt25,age25to29,age30to39,age40to49,education,edlow,edhigh,wantsMore,wantsmoreyes,wantsmoreno,notUsing,using
<25,1,0,0,0,low,1,0,yes,1,0,53,6
<25,1,0,0,0,low,1,0,no,0,1,10,4
<25,1,0,0,0,high,0,1,yes,1,0,212,52
<25,1,0,0,0,high,0,1,no,0,1,50,10
25-29,0,1,0,0,low,1,0,yes,1,0,60,14
25-29,0,1,0,0,low,1,0,no,0,1,19,10
25-29,0,1,0,0,high,0,1,yes,1,0,155,54
25-29,0,1,0,0,high,0,1,no,0,1,65,27
30-39,0,0,1,0,low,1,0,yes,1,0,112,33
30-39,0,0,1,0,low,1,0,no,0,1,77,80
30-39,0,0,1,0,high,0,1,yes,1,0,118,46
30-39,0,0,1,0,high,0,1,no,0,1,68,78
40-49,0,0,0,1,low,1,0,yes,1,0,35,6
40-49,0,0,0,1,low,1,0,no,0,1,46,48
40-49,0,0,0,1,high,0,1,yes,1,0,8,8
40-49,0,0,0,1,high,0,1,no,0,1,12,31
