d,b,c,c,c,c,c,c,b,b,d,c,d,c,b,d,c,d,c,d,c,c,d,c,c,d,c,c,d,d,b,c,b,b,a,b,d,c,c,a,d,c,a,a,c,c,c,c,d,d,b,c,b,b,c,c,c,c,b,b,c,b,a,b,c,c,d,c,c,c,b,d,d,c,c,c,b,a,a,b,b,b,c,c,d,b,d,c,c,a,c,d,b,c,b,d,c,b,b,c,1
b,c,b,d,b,a,b,b,b,c,c,c,c,c,b,b,c,b,a,d,b,b,d,d,b,c,b,c,c,b,c,d,c,d,a,b,c,a,a,b,c,b,c,c,d,d,c,d,d,b,a,b,c,b,a,a,b,c,b,b,c,c,c,d,b,b,c,d,c,c,b,c,b,b,b,c,c,c,b,c,b,b,c,c,a,c,b,c,c,c,c,d,c,c,c,c,b,a,d,b,0
a,c,c,c,c,d,b,c,b,b,b,c,b,b,b,b,b,a,b,b,b,c,b,c,b,c,b,c,b,a,c,c,b,b,b,c,b,a,c,c,c,d,d,c,d,c,b,d,c,b,d,d,c,b,c,a,c,a,d,d,b,c,c,d,c,b,c,c,c,c,b,c,b,c,c,b,c,c,d,a,b,d,c,b,d,b,b,c,b,c,d,d,d,a,b,c,b,b,c,b,1
c,a,d,b,d,c,b,b,b,c,a,c,c,a,c,b,d,d,b,d,c,d,b,d,b,a,d,c,d,c,d,b,a,b,b,c,b,b,a,a,c,b,c,d,c,c,d,c,b,b,c,c,b,c,b,c,a,c,c,d,c,c,a,c,c,b,d,c,c,c,c,c,c,c,c,b,c,a,d,b,d,b,c,d,d,a,b,c,b,d,b,c,d,b,d,c,c,c,b,c,1
c,c,b,c,b,c,c,a,c,b,d,d,b,b,c,c,c,b,c,b,c,a,d,c,b,c,c,d,b,c,c,d,c,b,b,c,b,c,a,c,b,b,c,c,b,c,d,c,a,c,b,b,c,b,c,c,c,a,a,d,d,d,d,b,a,b,c,d,b,d,d,c,d,c,c,c,c,c,d,a,b,c,d,c,d,d,b,b,b,d,d,a,c,b,d,b,c,b,a,b,1
d,c,b,b,b,c,b,a,b,b,b,a,a,c,c,c,c,d,a,b,d,b,b,b,b,c,d,a,d,c,d,d,b,d,a,d,b,d,b,b,b,c,b,c,a,c,d,c,d,c,d,c,b,a,d,c,d,b,b,c,c,c,b,b,b,c,c,b,c,d,b,c,c,c,a,c,b,a,d,c,b,c,c,c,c,d,c,c,b,c,c,c,c,c,a,c,c,c,b,c,1
c,d,c,b,b,b,d,b,a,c,a,b,c,d,c,a,b,b,d,b,a,b,c,b,c,d,c,c,c,b,b,d,b,c,a,b,b,c,b,b,d,d,b,b,b,c,d,b,c,d,b,c,d,c,c,d,c,c,c,c,b,b,c,c,c,b,c,b,c,c,c,a,c,c,b,b,a,b,c,b,d,c,b,b,a,d,d,a,c,c,c,b,d,a,c,c,b,c,d,a,1
d,b,b,c,a,d,d,b,b,b,d,a,b,b,c,b,c,c,b,c,b,c,c,a,b,b,c,c,c,c,b,b,c,c,b,c,c,b,b,c,a,c,c,c,c,c,c,c,c,c,d,c,a,c,d,b,d,d,a,a,d,d,c,d,d,c,a,c,c,d,c,c,b,d,d,c,d,d,b,c,c,c,d,b,d,b,b,c,b,b,d,c,b,d,a,b,a,c,d,b,1
b,d,d,b,b,a,c,a,c,a,b,a,c,c,c,c,b,b,b,c,b,b,c,d,b,b,c,d,d,d,c,d,c,b,c,c,c,a,b,b,b,c,b,d,b,a,c,b,b,a,a,b,c,c,a,c,c,c,b,b,d,b,b,b,b,b,b,b,c,a,b,c,d,a,c,c,b,c,c,c,c,d,c,a,b,c,a,c,b,d,c,d,c,b,d,b,c,a,c,d,0
c,c,c,b,b,d,d,b,b,c,c,c,c,c,c,b,c,c,c,b,c,c,c,c,c,b,c,c,d,c,b,c,b,d,a,b,b,c,a,c,c,c,b,c,b,b,c,b,d,b,b,d,b,c,a,a,c,b,a,b,b,d,a,c,b,d,a,c,c,a,c,d,a,a,c,b,c,c,a,c,a,c,c,b,c,a,d,c,b,c,b,c,c,c,c,c,c,c,c,c,0
