playerID,year,stint,tmID,lgID,GP,Min,W,L,T/OL,ENG,SHO,GA,SA,PostGP,PostMin,PostW,PostL,PostT,PostENG,PostSHO,PostGA,PostSA
abbotge01,1943,1,BOS,NHL,1,60,0,1,0,,0,7,,,,,,,,,,
abrahch01,1974,1,NEW,WHA,16,870,8,6,1,0,1,47,504,,,,,,,,,
abrahch01,1975,1,NEW,WHA,41,2385,18,18,2,1,2,136,1221,1,1,0,0,,0,0,0,
abrahch01,1976,1,NEW,WHA,45,2484,15,22,4,0,0,159,1438,2,90,0,1,,0,0,5,51
adamsjo01,1972,1,BOS,NHL,14,780,9,3,1,0,1,39,,,,,,,,,,
adamsjo01,1974,1,WAS,NHL,8,400,0,7,0,0,0,46,,,,,,,,,,
aebisda01,2000,1,COL,NHL,26,1393,12,7,3,3,3,52,538,1,1,0,0,,0,0,0,0
aebisda01,2001,1,COL,NHL,21,1184,13,6,0,4,2,37,538,1,34,0,0,,0,0,1,14
aebisda01,2002,1,COL,NHL,22,1235,7,12,0,4,1,50,593,,,,,,,,,
aebisda01,2003,1,COL,NHL,62,3703,32,19,9,5,4,129,1703,11,662,6,5,,1,1,23,295
aebisda01,2005,1,COL,NHL,43,2477,25,14,2,2,3,123,1233,,,,,,,,,
aebisda01,2005,2,MTL,NHL,7,418,4,3,0,1,0,26,240,,,,,,,,,
aikendo01,1957,1,MTL,NHL,1,34,0,1,0,,0,6,,,,,,,,,,
aitkean01,1932,1,NYR,NHL,48,2970,23,17,8,,3,107,,8,488,6,1,1,,2,13,
aitkean01,1933,1,NYR,NHL,48,2990,21,19,8,,7,113,,2,120,0,1,1,,1,2,
aitkean01,1934,1,NYR,NHL,10,610,3,7,0,,1,37,,,,,,,,,,
almasre01,1946,1,DET,NHL,1,60,0,1,0,,0,5,,5,263,1,3,,,0,13,
almasre01,1950,1,CHI,NHL,1,60,0,1,0,,0,5,,,,,,,,,,
almasre01,1952,1,DET,NHL,1,60,0,0,1,,0,3,,,,,,,,,,
andercr01,2002,1,CHI,NHL,6,270,0,3,2,0,0,18,125,,,,,,,,,
andercr01,2003,1,CHI,NHL,21,1205,6,14,0,4,1,57,602,,,,,,,,,
andercr01,2005,1,CHI,NHL,29,1553,6,12,4,2,1,86,757,,,,,,,,,
anderlo01,1951,1,NYR,NHL,3,180,1,2,0,,0,18,,,,,,,,,,
archayv01,1972,1,PHB,WHA,6,260,1,3,0,0,0,17,122,3,153,0,2,,0,0,11,
archayv01,1973,1,VAB,WHA,5,263,1,4,0,0,0,27,183,,,,,,,,,
askeyto01,1997,1,ANA,NHL,7,273,0,1,2,2,0,12,113,,,,,,,,,
askeyto01,1998,1,ANA,NHL,,,,,,,,,,1,30,0,1,,0,0,2,11
astroha01,1977,1,NYR,NHL,4,240,2,2,0,0,0,14,,,,,,,,,,
astroha01,1979,1,COR,NHL,49,2574,9,27,6,3,0,161,,,,,,,,,,
astroha01,1980,1,COR,NHL,30,1642,6,15,6,3,0,103,,,,,,,,,,
aubinje01,1998,1,PIT,NHL,17,756,4,3,6,0,2,28,304,,,,,,,,,
aubinje01,1999,1,PIT,NHL,51,2789,23,21,3,3,2,120,1392,,,,,,,,,
aubinje01,2000,1,PIT,NHL,36,2050,20,14,1,5,0,107,973,1,1,0,0,,0,0,0,0
aubinje01,2001,1,PIT,NHL,21,1094,3,12,1,3,0,65,537,,,,,,,,,
aubinje01,2002,1,PIT,NHL,21,1132,6,13,0,3,1,59,589,,,,,,,,,
aubinje01,2003,1,PIT,NHL,22,1067,7,9,0,4,1,53,574,,,,,,,,,
aubinje01,2005,1,TOR,NHL,11,677,9,0,2,0,1,25,330,,,,,,,,,
aubryse01,1972,1,QUN,WHA,52,3036,25,22,3,0,2,182,1781,,,,,,,,,
aubryse01,1973,1,QUN,WHA,26,1395,11,11,2,1,1,90,751,,,,,,,,,
aubryse01,1974,1,QUN,WHA,31,1762,17,11,0,0,0,109,959,,,,,,,,,
aubryse01,1975,1,CIN,WHA,12,549,6,4,0,0,1,38,267,,,,,,,,,
aubryse01,1976,1,QUN,WHA,21,769,6,5,0,2,1,51,369,3,18,0,0,,0,0,1,10
auldal01,2001,1,VAN,NHL,1,60,1,0,0,0,0,2,22,,,,,,,,,
auldal01,2002,1,VAN,NHL,7,382,3,3,0,0,1,10,165,1,20,0,0,,0,0,1,5
auldal01,2003,1,VAN,NHL,6,349,2,2,2,0,0,12,168,3,222,1,2,,0,0,9,88
auldal01,2005,1,VAN,NHL,67,3859,33,26,6,3,0,189,1938,,,,,,,,,
babarse01,1977,1,SOV,WHA,5,300,3,1,1,0,0,17,129,,,,,,,,,
babarse01,1978,1,SOV,WHA,2,63,1,0,0,0,0,3,,,,,,,,,,
bacasja01,2005,1,STL,NHL,19,966,4,10,1,5,0,52,515,,,,,,,,,
bachry01,1998,1,LAK,NHL,3,108,0,3,0,0,0,8,66,,,,,,,,,
bailesc01,1995,1,BOS,NHL,11,571,5,1,2,0,0,31,264,,,,,,,,,
bailesc01,1996,1,BOS,NHL,8,394,1,5,0,2,0,24,181,,,,,,,,,
bakerst01,1979,1,NYR,NHL,27,1391,9,8,6,1,1,79,,,,,,,,,,
bakerst01,1980,1,NYR,NHL,21,1260,10,6,5,2,2,73,,14,826,7,7,,0,0,55,
bakerst01,1981,1,NYR,NHL,6,328,1,5,0,0,0,33,,,,,,,,,,
bakerst01,1982,1,NYR,NHL,3,102,0,1,0,2,0,5,44,,,,,,,,,
balesmi01,1992,1,BOS,NHL,1,25,0,0,0,1,0,1,10,,,,,,,,,
balesmi01,1994,1,OTT,NHL,1,3,0,0,0,0,0,0,1,,,,,,,,,
balesmi01,1995,1,OTT,NHL,20,1040,2,14,1,1,0,72,560,,,,,,,,,
balesmi01,1996,1,OTT,NHL,1,52,0,1,0,0,0,4,18,,,,,,,,,
bannemu01,1977,1,VAN,NHL,1,20,0,0,0,0,0,0,,,,,,,,,,
bannemu01,1980,1,CHI,NHL,15,865,2,10,2,2,0,62,,,,,,,,,,
bannemu01,1981,1,CHI,NHL,29,1671,11,12,4,2,1,116,,10,555,5,4,,0,0,35,
bannemu01,1982,1,CHI,NHL,41,2460,24,12,5,2,4,127,1283,8,480,4,4,,1,0,32,
bannemu01,1983,1,CHI,NHL,56,3335,23,29,4,4,2,188,1667,5,300,2,3,,1,0,17,171
bannemu01,1984,1,CHI,NHL,60,3371,27,25,4,3,0,215,1847,15,906,9,6,,3,0,72,547
bannemu01,1985,1,CHI,NHL,48,2689,20,19,6,2,1,201,1538,2,81,0,1,,0,0,9,40
bannemu01,1986,1,CHI,NHL,39,2059,9,18,8,2,0,142,1122,,,,,,,,,
baronma01,1979,1,BOS,NHL,1,40,0,0,0,0,0,2,,,,,,,,,,
baronma01,1980,1,BOS,NHL,10,507,3,4,1,1,0,24,,1,20,0,1,,0,0,3,
baronma01,1981,1,BOS,NHL,44,2515,22,16,4,3,1,144,,,,,,,,,,
baronma01,1982,1,BOS,NHL,9,516,6,3,0,1,0,33,233,,,,,,,,,
baronma01,1983,1,LAK,NHL,21,1211,3,14,4,5,0,87,633,,,,,,,,,
baronma01,1984,1,EDM,NHL,1,33,0,1,0,0,0,2,9,,,,,,,,,
barrato01,1983,1,BUF,NHL,42,2475,26,12,3,2,2,117,1098,3,139,0,2,,0,0,8,59
barrato01,1984,1,BUF,NHL,54,3248,25,18,10,4,5,144,1274,5,300,2,3,,0,0,22,151
barrato01,1985,1,BUF,NHL,60,3561,29,24,5,5,2,214,1778,,,,,,,,,
barrato01,1986,1,BUF,NHL,46,2501,17,23,2,4,2,152,1202,,,,,,,,,
barrato01,1987,1,BUF,NHL,54,3133,25,18,8,1,2,173,1658,4,224,1,3,,1,0,16,120
barrato01,1988,1,BUF,NHL,10,545,2,7,0,1,0,45,285,,,,,,,,,
barrato01,1988,2,PIT,NHL,44,2406,18,15,7,4,0,162,1445,11,631,7,4,,1,0,40,389
barrato01,1989,1,PIT,NHL,24,1294,7,12,3,2,0,101,748,,,,,,,,,
barrato01,1990,1,PIT,NHL,48,2754,27,16,3,2,1,165,1579,20,1175,12,7,,1,1,51,629
